id,name,frequency,field,subfield,domain
https://openalex.org/T10064,Complex Network Analysis Techniques,1,Physics and Astronomy,Statistical and Nonlinear Physics,Physical Sciences
https://openalex.org/T11273,Advanced Graph Neural Networks,1,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10887,Bioinformatics and Genomic Networks,1,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Life Sciences
https://openalex.org/T10848,Advanced Multi-Objective Optimization Algorithms,1,Computer Science,Computational Theory and Mathematics,Physical Sciences
https://openalex.org/T10100,Metaheuristic Optimization Algorithms Research,2,Computer Science,Artificial Intelligence,Physical Sciences
https://openalex.org/T10928,Probabilistic and Robust Engineering Design,1,Decision Sciences,"Statistics, Probability and Uncertainty",Social Sciences
https://openalex.org/T10223,Microgrid Control and Optimization,1,Engineering,Control and Systems Engineering,Physical Sciences
https://openalex.org/T10228,Multilevel Inverters and Converters,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T10175,Advanced DC-DC Converters,1,Engineering,Electrical and Electronic Engineering,Physical Sciences
https://openalex.org/T10487,Plant and animal studies,1,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Life Sciences
https://openalex.org/T10174,Animal Behavior and Reproduction,1,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Life Sciences
https://openalex.org/T10332,Amphibian and Reptile Biology,1,Environmental Science,Global and Planetary Change,Physical Sciences
https://openalex.org/T12127,Software System Performance and Reliability,1,Computer Science,Computer Networks and Communications,Physical Sciences
https://openalex.org/T10260,Software Engineering Research,1,Computer Science,Information Systems,Physical Sciences
https://openalex.org/T11719,Data Quality and Management,1,Decision Sciences,Management Science and Operations Research,Social Sciences
https://openalex.org/T10287,Algebraic structures and combinatorial models,1,Mathematics,Geometry and Topology,Physical Sciences
https://openalex.org/T10061,Algebraic Geometry and Number Theory,1,Mathematics,Geometry and Topology,Physical Sciences
https://openalex.org/T11703,"Rings, Modules, and Algebras",1,Mathematics,Algebra and Number Theory,Physical Sciences
https://openalex.org/T10567,Vehicle Routing Optimization Methods,1,Engineering,Industrial and Manufacturing Engineering,Physical Sciences
https://openalex.org/T12176,Optimization and Packing Problems,1,Engineering,Industrial and Manufacturing Engineering,Physical Sciences
